Open,Low,High,Close,Volume,year,Date
15.4614,15.2,15.5043,15.2643,17602600,2009,2009-03-27
14.93,14.6586,15.0014,14.9271,17957000,2009,2009-03-30
15.0643,15.0,15.35,15.0171,20360000,2009,2009-03-31
14.87,14.8414,15.5714,15.5271,21049000,2009,2009-04-01
15.735,15.6829,16.3929,16.1014,29013100,2009,2009-04-02
16.3129,16.2171,16.59,16.57,22722900,2009,2009-04-03
16.42,16.1829,16.9643,16.9214,23502300,2009,2009-04-06
16.6471,16.3129,16.6671,16.4286,19163600,2009,2009-04-07
16.49,16.3686,16.6843,16.6171,16272500,2009,2009-04-08
16.9171,16.8514,17.1429,17.0814,18955600,2009,2009-04-09
17.1443,17.0,17.2829,17.1743,13901300,2009,2009-04-13
17.0814,16.75,17.1671,16.9014,16236500,2009,2009-04-14
16.7429,16.5371,16.8929,16.8057,14745800,2009,2009-04-15
17.0271,16.97,17.5929,17.35,21194500,2009,2009-04-16
17.3114,17.1786,17.75,17.6314,17767700,2009,2009-04-17
17.39,17.0229,17.57,17.2143,16659500,2009,2009-04-20
16.9843,16.9429,17.4486,17.3943,16810200,2009,2009-04-21
17.5186,17.3143,17.9071,17.3586,33527400,2009,2009-04-22
18.0886,17.6443,18.1714,17.9143,33755600,2009,2009-04-23
17.8057,17.5671,17.8771,17.7,19313000,2009,2009-04-24
17.5571,17.5229,17.8571,17.8186,17167500,2009,2009-04-27
17.6214,17.6086,18.03,17.7003,16280600,2009,2009-04-28
17.8357,17.69,18.1214,17.8771,16361100,2009,2009-04-29
18.0314,17.8457,18.1429,17.9757,17803200,2009,2009-04-30
17.9714,17.9714,18.2786,18.1771,14197000,2009,2009-05-01
18.32,18.24,18.8929,18.8671,21762800,2009,2009-05-04
18.8214,18.7314,18.98,18.9586,14223400,2009,2009-05-05
19.0471,18.6029,19.0714,18.9286,16912100,2009,2009-05-06
18.9043,18.2714,18.9129,18.4371,18992000,2009,2009-05-07
18.4343,18.0371,18.7477,18.4557,16713000,2009,2009-05-08
18.1957,18.16,18.7086,18.51,14452100,2009,2009-05-11
18.5086,17.6071,18.53,17.7743,21767200,2009,2009-05-12
17.6014,17.0543,17.7171,17.07,21284700,2009,2009-05-13
17.1114,17.1,17.6471,17.5643,15993800,2009,2009-05-14
17.4743,17.3729,17.8029,17.4886,13127400,2009,2009-05-15
17.6757,17.3671,18.1,18.0929,16387200,2009,2009-05-18
18.1171,17.9629,18.4729,18.2071,13300800,2009,2009-05-19
18.2329,17.9,18.4586,17.9814,13878000,2009,2009-05-20
17.8786,17.5557,18.1114,17.74,14569500,2009,2009-05-21
17.7214,17.3929,17.74,17.5,10642800,2009,2009-05-22
17.8229,17.7929,18.69,18.6829,22747400,2009,2009-05-26
18.8257,18.7014,19.2829,19.0071,23086500,2009,2009-05-27
19.0643,18.8614,19.3414,19.2957,17412600,2009,2009-05-28
19.3414,19.1214,19.4143,19.4014,16304800,2009,2009-05-29
19.4957,19.4286,19.9986,19.9071,16160700,2009,2009-06-01
19.8557,19.7643,20.1914,19.9271,16293700,2009,2009-06-02
20.0,19.8671,20.1586,20.1357,20185700,2009,2009-06-03
20.0186,20.0057,20.5971,20.5343,19665500,2009,2009-06-04
20.7586,20.4586,20.9143,20.6671,22597000,2009,2009-06-05
20.5457,19.9186,20.6043,20.55,33273300,2009,2009-06-08
20.5443,20.0786,20.6514,20.3886,24177300,2009,2009-06-09
